words,ONsize,frequency,concreteness
rust,11.0,0.032508414,0
honk,6.0,0.032197045,0
barb,5.0,0.03193787,0
mist,9.0,0.035260344,0
game,12.0,0.067952341,0
line,16.0,0.066969637,0
loot,14.0,0.035260344,0
puck,12.0,0.033644103,0
axle,1.0,0.027090945,0
mime,8.0,0.026455607,0
seam,12.0,0.02214683,0
loom,8.0,0.018743363,0
kiss,5.0,0.062813844,0
cash,11.0,0.058793038,0
drug,2.0,0.055110599,0
chop,6.0,0.045733518,0
mars,3.0,0.043703317,0
rack,11.0,0.041376145,0
brig,3.0,0.034054463,0
calf,3.0,0.033851083,0
bran,3.0,0.027564299,0
rind,9.0,0.015750256,0
chow,4.0,0.040393441,0
song,8.0,0.060803441,0
dawn,7.0,0.050639837,0
coop,10.0,0.043600727,0
prop,7.0,0.035555516,0
jaws,0.0,0.032866579,0
plow,8.0,0.030341427,0
dune,9.0,0.025467504,0
gyro,0.0,0.016727561,0
inks,1.0,0.012580767,0
dean,9.0,0.053897518,0
male,18.0,0.052869819,0
veil,2.0,0.033851083,0
maze,10.0,0.032690196,0
shot,9.0,0.067736362,0
cell,10.0,0.056548658,0
bite,9.0,0.054306078,0
list,9.0,0.059626357,0
papa,0.0,0.054644445,0
swim,3.0,0.052362268,0
gang,8.0,0.05194291,0
sons,1.0,0.047941902,0
stew,6.0,0.039887691,0
polo,4.0,0.035130757,0
pint,9.0,0.034634006,0
welt,10.0,0.012580767,0
tang,9.0,0.031671496,0
file,11.0,0.054905419,0
mole,13.0,0.041646119,0
mesh,5.0,0.022593186,0
dust,10.0,0.050112489,0
brow,4.0,0.030177643,0
jade,3.0,0.038048271,0
visa,1.0,0.03663541,0
boob,6.0,0.033953673,0
curl,5.0,0.032069257,0
rook,10.0,0.028010655,0
tote,6.0,0.026047047,0
loin,4.0,0.017598675,0
teat,14.0,0.016727561,0
pine,14.0,0.039597919,0
clip,5.0,0.038928385,0
womb,3.0,0.035085762,0
nook,7.0,0.025906661,0
crew,5.0,0.055501161,0
poet,4.0,0.042691816,0
hump,7.0,0.036952179,0
digs,3.0,0.033851083,0
dick,13.0,0.056352477,0
camp,6.0,0.056084304,0
wash,11.0,0.054293479,0
sing,10.0,0.06112381,0
mate,17.0,0.051705333,0
root,12.0,0.043688918,0
swab,9.0,0.032134051,0
burp,4.0,0.02744911,0
back,12.0,0.084764493,0
shit,8.0,0.073486798,0
lady,2.0,0.067370998,0
kick,9.0,0.058899228,0
flab,8.0,0.012580767,0
cook,11.0,0.055171793,0
hail,13.0,0.044765213,0
loft,5.0,0.035470924,0
foal,7.0,0.015750256,0
shop,7.0,0.05643347,0
goop,8.0,0.022593186,0
jack,8.0,0.068524685,0
mama,0.0,0.061598963,0
post,12.0,0.052515254,0
trap,4.0,0.050112489,0
chef,2.0,0.044675222,0
grip,6.0,0.043080578,0
thug,3.0,0.035130757,0
pulp,3.0,0.030094851,0
mite,13.0,0.026714782,0
silo,5.0,0.02500315,0
dark,9.0,0.060367884,0
slab,11.0,0.030177643,0
pita,1.0,0.026320621,0
gear,11.0,0.046996994,0
leak,8.0,0.043435143,0
brie,2.0,0.024677382,0
swat,12.0,0.035879484,0
bong,9.0,0.033374129,0
loon,12.0,0.028118644,0
acid,3.0,0.043298357,0
memo,1.0,0.04009827,0
edge,1.0,0.0500027,0
dyke,3.0,0.032808985,0
wink,11.0,0.035217149,0
brim,5.0,0.024509998,0
cyst,2.0,0.019090729,0
lyre,2.0,0.007163298,0
poke,11.0,0.039140764,0
drop,3.0,0.063400587,0
mark,8.0,0.059764943,0
push,9.0,0.058587858,0
spot,6.0,0.057524163,0
bake,13.0,0.039767103,0
soak,3.0,0.035042566,0
puss,5.0,0.033748493,0
boil,6.0,0.039270352,0
clot,5.0,0.030012059,0
ford,10.0,0.044426846,0
cent,11.0,0.042904195,0
wept,4.0,0.028010655,0
curd,7.0,0.019090729,0
garb,1.0,0.016727561,0
dewy,2.0,0.014630766,0
acre,2.0,0.030094851,0
weld,5.0,0.021912853,0
aunt,5.0,0.056669246,0
feed,11.0,0.054608448,0
grin,5.0,0.033152751,0
roll,4.0,0.057736542,0
clap,10.0,0.037486726,0
teen,4.0,0.036378035,0
peck,8.0,0.035217149,0
limp,10.0,0.03551412,0
pour,7.0,0.046554238,0
drip,3.0,0.038107665,0
reel,8.0,0.03458721,0
vial,2.0,0.02744911,0
wife,6.0,0.071080434,0
muff,4.0,0.025161534,0
home,7.0,0.077311423,0
burn,6.0,0.056672846,0
wrap,2.0,0.047832112,0
grey,3.0,0.042675618,0
herd,8.0,0.04061302,0
fare,16.0,0.039547524,0
trot,2.0,0.030012059,0
king,8.0,0.063319595,0
lead,12.0,0.059881932,0
slip,11.0,0.050753226,0
snap,5.0,0.04764853,0
bump,7.0,0.044977592,0
tide,10.0,0.040931589,0
hash,10.0,0.035217149,0
pelt,5.0,0.02500315,0
gulf,3.0,0.037486726,0
gull,11.0,0.026185634,0
talk,8.0,0.078085348,0
dead,10.0,0.073051241,0
walk,3.0,0.067327802,0
flat,9.0,0.050854016,0
skip,7.0,0.049156783,0
stab,8.0,0.042301254,0
neon,2.0,0.033590108,0
brew,5.0,0.032569608,0
teal,11.0,0.020345206,0
flan,7.0,0.02949011,0
fall,11.0,0.062641061,0
nine,9.0,0.058238693,0
rise,10.0,0.051206782,0
tilt,7.0,0.031603103,0
hymn,0.0,0.029216537,0
oval,2.0,0.027791076,0
maul,3.0,0.016727561,0
flog,6.0,0.016254207,0
etch,2.0,0.013325894,0
dive,12.0,0.045269164,0
halo,3.0,0.029122946,0
slum,9.0,0.027330322,0
pave,11.0,0.018379799,0
call,10.0,0.078144742,0
till,15.0,0.0653084,0
duke,7.0,0.050494052,0
wipe,7.0,0.047416353,0
stud,3.0,0.040481633,0
slam,14.0,0.039088569,0
turd,3.0,0.033320135,0
nuke,3.0,0.032134051,0
ooze,2.0,0.020629578,0
node,9.0,0.020050035,0
tint,7.0,0.016254207,0
show,7.0,0.073708177,0
pull,10.0,0.064295099,0
beat,18.0,0.06346538,0
draw,3.0,0.054234085,0
ogre,1.0,0.028010655,0
trio,2.0,0.02744911,0
grad,5.0,0.033696298,0
pogo,2.0,0.021671676,0
yeti,0.0,0.015750256,0
case,13.0,0.069428196,0
dude,5.0,0.061269596,0
test,12.0,0.059959324,0
wind,11.0,0.057239791,0
dump,8.0,0.051593744,0
pink,12.0,0.051498353,0
navy,1.0,0.050693832,0
trim,5.0,0.036705603,0
wail,12.0,0.024337215,0
cast,12.0,0.049876712,0
meow,0.0,0.033800688,0
dell,14.0,0.032323032,0
taut,2.0,0.022593186,0
tsar,1.0,0.017998236,0
kill,13.0,0.073114235,0
date,12.0,0.064028725,0
mess,6.0,0.05938518,0
copy,2.0,0.056244488,0
scum,2.0,0.043253361,0
chap,5.0,0.0397923,0
pawn,5.0,0.036813592,0
putt,3.0,0.026455607,0
lift,8.0,0.052914814,0
sigh,3.0,0.034907579,0
isle,1.0,0.026966757,0
pair,5.0,0.053598747,0
junk,8.0,0.046685625,0
bend,11.0,0.046523641,0
helm,2.0,0.038458631,0
flex,5.0,0.025316319,0
five,8.0,0.069510988,0
nick,10.0,0.057326182,0
lima,4.0,0.026842569,0
base,10.0,0.053193787,0
yell,10.0,0.048093087,0
bail,14.0,0.047630532,0
leap,6.0,0.040168463,0
grub,1.0,0.033208546,0
skit,8.0,0.02398265,0
lisp,3.0,0.018743363,0
gnaw,1.0,0.017998236,0
cold,11.0,0.063373589,0
vote,3.0,0.05295981,0
swap,9.0,0.035429528,0
sewn,2.0,0.02744911,0
gust,9.0,0.019742265,0
tuft,0.0,0.003169489,0
lacy,5.0,0.021912853,0
vane,8.0,0.016727561,0
boss,4.0,0.063013625,0
pack,13.0,0.054867623,0
thin,6.0,0.048807617,0
tops,3.0,0.040931589,0
howl,4.0,0.031034359,0
peer,11.0,0.028735984,0
oily,2.0,0.025161534,0
pick,12.0,0.066667267,0
bury,7.0,0.048996598,0
java,1.0,0.028735984,0
hunt,9.0,0.050747827,0
roar,5.0,0.03622865,0
chum,1.0,0.034104858,0
damp,7.0,0.033748493,0
thaw,2.0,0.029027555,0
team,7.0,0.064356293,0
heat,11.0,0.054169291,0
pale,13.0,0.041608322,0
wage,9.0,0.034252443,0
duel,4.0,0.032069257,0
lash,11.0,0.029400119,0
club,2.0,0.061217401,0
mash,15.0,0.036917982,0
unit,1.0,0.05336837,0
bang,10.0,0.048732024,0
muck,11.0,0.030420619,0
mesa,3.0,0.02744911,0
prod,4.0,0.022593186,0
hard,10.0,0.07010133,0
blue,3.0,0.061498173,0
lair,4.0,0.032260039,0
skim,6.0,0.024162632,0
ride,13.0,0.063681359,0
arts,2.0,0.042691816,0
taps,2.0,0.032690196,0
blow,8.0,0.06112201,0
loud,3.0,0.054118896,0
bust,12.0,0.051246378,0
beau,6.0,0.039140764,0
buff,4.0,0.032508414,0
area,0.0,0.059057612,0
loan,6.0,0.048685229,0
prom,4.0,0.047814114,0
rode,10.0,0.043629524,0
tore,14.0,0.041871097,0
trip,5.0,0.05980094,0
left,4.0,0.073645183,0
hang,9.0,0.064363492,0
buzz,1.0,0.046978996,0
stop,5.0,0.076604093,0
hold,10.0,0.072835262,0
side,8.0,0.066766257,0
chug,2.0,0.032004464,0
snip,4.0,0.031252137,0
fest,13.0,0.027791076,0
glop,6.0,0.003169489,0
mush,13.0,0.033429924,0
orgy,0.0,0.029580101,0
soar,9.0,0.028735984,0
hear,16.0,0.074714278,0
boom,8.0,0.049414157,0
chat,4.0,0.047130181,0
demo,1.0,0.034680801,0
jock,8.0,0.042474038,0
ding,8.0,0.039372941,0
glow,7.0,0.039007577,0
diva,1.0,0.028735984,0
reps,0.0,0.024677382,0
sumo,0.0,0.02398265,0
typo,2.0,0.022373607,0
load,7.0,0.051699933,0
mile,17.0,0.049120786,0
idol,0.0,0.033320135,0
brat,5.0,0.039621317,0
peek,13.0,0.038429834,0
snag,5.0,0.030420619,0
slid,6.0,0.030177643,0
spat,11.0,0.028834974,0
hurt,3.0,0.068360901,0
wear,13.0,0.062011123,0
laid,7.0,0.051890715,0
sway,10.0,0.032629002,0
guru,0.0,0.028735984,0
hiss,4.0,0.024841166,0
full,11.0,0.065317399,0
race,13.0,0.057565559,0
gene,2.0,0.046266266,0
aide,7.0,0.030884973,0
fume,2.0,0.014630766,0
live,11.0,0.070983244,0
axis,1.0,0.029027555,0
kink,10.0,0.022373607,0
mine,17.0,0.068504887,0
read,12.0,0.068195317,0
word,10.0,0.068009935,0
warm,9.0,0.05622469,0
inky,2.0,0.014006227,0
fell,14.0,0.058854232,0
huge,0.0,0.055637947,0
firm,4.0,0.053172189,0
rang,11.0,0.03857022,0
toll,9.0,0.034817588,0
ware,21.0,0.03153471,0
levy,0.0,0.030579003,0
cool,10.0,0.066568276,0
down,4.0,0.082428322,0
grab,6.0,0.058622055,0
grew,5.0,0.051716132,0
bash,14.0,0.034634006,0
odor,0.0,0.032004464,0
sect,2.0,0.023016144,0
spar,9.0,0.022807365,0
bawl,3.0,0.020903151,0
name,8.0,0.075844567,0
pain,7.0,0.061150807,0
wavy,4.0,0.020903151,0
work,9.0,0.0775472,0
week,9.0,0.068107126,0
rent,13.0,0.053010205,0
puff,4.0,0.037020572,0
keel,6.0,0.026842569,0
wade,9.0,0.047223772,0
suck,14.0,0.053083998,0
gray,7.0,0.049163982,0
clan,8.0,0.036378035,0
icon,1.0,0.029668293,0
crud,1.0,0.02561689,0
gunk,7.0,0.019742265,0
doze,9.0,0.018379799,0
oral,2.0,0.036777596,0
hick,10.0,0.030809381,0
turn,4.0,0.070067133,0
mass,10.0,0.047587336,0
runt,9.0,0.032386026,0
slop,10.0,0.030177643,0
aids,2.0,0.025906661,0
ream,8.0,0.014006227,0
ache,3.0,0.032508414,0
safe,8.0,0.064120516,0
rosy,3.0,0.034725797,0
apex,0.0,0.024162632,0
bind,10.0,0.034817588,0
dash,10.0,0.039398139,0
hulk,6.0,0.036340239,0
shut,5.0,0.068895448,0
deep,9.0,0.059208798,0
halt,5.0,0.044264862,0
bred,1.0,0.032386026,0
gush,10.0,0.022807365,0
wove,7.0,0.014630766,0
four,6.0,0.068654272,0
spun,6.0,0.02949011,0
days,1.0,0.070047335,0
tall,14.0,0.052491856,0
sell,12.0,0.060684653,0
sort,6.0,0.064415687,0
atom,1.0,0.03326434,0
well,13.0,0.087872788,0
scat,9.0,0.027330322,0
grit,5.0,0.02500315,0
fast,10.0,0.063800148,0
fill,15.0,0.054887421,0
huff,4.0,0.027564299,0
hung,7.0,0.051411962,0
anal,0.0,0.033152751,0
blur,2.0,0.03132413,0
part,10.0,0.068827055,0
acts,1.0,0.045051385,0
slow,12.0,0.059171001,0
edit,2.0,0.028636994,0
riff,1.0,0.026320621,0
half,4.0,0.066697864,0
deaf,5.0,0.046244668,0
tart,8.0,0.032197045,0
quip,2.0,0.010836738,0
move,8.0,0.072495095,0
year,12.0,0.069302208,0
opus,0.0,0.024677382,0
play,5.0,0.071204622,0
mute,6.0,0.032508414,0
bulk,7.0,0.030420619,0
oink,7.0,0.026047047,0
ugly,0.0,0.054563453,0
sore,13.0,0.046493044,0
tale,13.0,0.044752614,0
nerd,2.0,0.034680801,0
born,9.0,0.059921528,0
slob,7.0,0.03530354,0
emit,3.0,0.018379799,0
open,3.0,0.070414499,0
hide,9.0,0.058490668,0
view,0.0,0.053861522,0
pray,5.0,0.053377369,0
expo,0.0,0.018379799,0
thud,2.0,0.030579003,0
fuck,9.0,0.071717572,0
oozy,2.0,0.003169489,0
long,6.0,0.076240528,0
fund,4.0,0.043789709,0
fray,4.0,0.02500315,0
ping,10.0,0.034680801,0
kilo,4.0,0.028932165,0
user,1.0,0.028834974,0
woke,8.0,0.050893612,0
itch,2.0,0.03652562,0
shag,4.0,0.030420619,0
hazy,2.0,0.023797268,0
sour,10.0,0.039113767,0
aged,2.0,0.035344936,0
stun,4.0,0.030341427,0
smut,3.0,0.027902666,0
swag,9.0,0.020050035,0
here,8.0,0.091110671,0
rage,10.0,0.044291859,0
wake,14.0,0.061710552,0
tiny,3.0,0.052463059,0
pace,10.0,0.042985187,0
deal,14.0,0.068823455,0
hour,5.0,0.06509782,0
punk,11.0,0.049477151,0
zoom,4.0,0.035260344,0
slay,10.0,0.03132413,0
watt,4.0,0.030341427,0
coot,15.0,0.022807365,0
sung,8.0,0.035130757,0
time,7.0,0.084564713,0
hero,5.0,0.055871925,0
zone,8.0,0.048786019,0
sham,7.0,0.028636994,0
cite,7.0,0.02500315,0
rant,8.0,0.022373607,0
exes,2.0,0.015750256,0
take,13.0,0.084291139,0
goal,3.0,0.047353359,0
them,4.0,0.083812386,0
last,10.0,0.076776876,0
lord,7.0,0.063839744,0
felt,7.0,0.062727453,0
rest,11.0,0.067221612,0
grow,4.0,0.057255989,0
sang,13.0,0.041795504,0
tech,0.0,0.039839096,0
tidy,2.0,0.035596912,0
bask,9.0,0.021167726,0
meet,4.0,0.071156027,0
code,10.0,0.056370476,0
fail,13.0,0.050351866,0
wore,19.0,0.049192779,0
dope,14.0,0.047034791,0
darn,9.0,0.045900902,0
lean,10.0,0.043615126,0
coup,2.0,0.032866579,0
ante,1.0,0.031464516,0
span,8.0,0.030733788,0
reek,9.0,0.024677382,0
waft,6.0,0.011756448,0
said,7.0,0.080115549,0
both,2.0,0.069777362,0
sick,13.0,0.065247206,0
look,11.0,0.084519717,0
seen,8.0,0.071848959,0
sold,9.0,0.056212091,0
achy,2.0,0.019423696,0
they,4.0,0.090345746,0
veto,0.0,0.024677382,0
temp,1.0,0.034004068,0
bonk,9.0,0.017175717,0
tell,13.0,0.08356941,0
joke,5.0,0.058856032,0
rush,10.0,0.052265078,0
wimp,4.0,0.034252443,0
wilt,7.0,0.030094851,0
spec,2.0,0.024337215,0
fury,2.0,0.035839888,0
mini,4.0,0.035388132,0
raid,5.0,0.042106874,0
zero,1.0,0.04928637,0
flaw,9.0,0.034054463,0
sulk,5.0,0.023219524,0
roam,5.0,0.034907579,0
lurk,3.0,0.018743363,0
task,6.0,0.045209769,0
beta,0.0,0.03499757,0
give,6.0,0.080524109,0
calm,4.0,0.06040568,0
dolt,6.0,0.020629578,0
term,3.0,0.047675528,0
redo,0.0,0.029027555,0
lush,9.0,0.026714782,0
even,2.0,0.078274329,0
kept,1.0,0.060438077,0
near,12.0,0.059867533,0
rich,1.0,0.059608358,0
solo,4.0,0.042106874,0
idle,2.0,0.033320135,0
eyed,1.0,0.023219524,0
less,3.0,0.062137111,0
ouch,2.0,0.044045284,0
romp,3.0,0.020629578,0
once,0.0,0.070990443,0
sake,15.0,0.057844531,0
semi,0.0,0.032004464,0
cusp,1.0,0.015750256,0
noel,0.0,0.048282068,0
oust,7.0,0.005419269,0
come,12.0,0.088256151,0
fact,5.0,0.065578373,0
pass,6.0,0.061922932,0
send,9.0,0.065898742,0
snob,5.0,0.031464516,0
pang,10.0,0.029027555,0
life,7.0,0.077532802,0
omen,4.0,0.029580101,0
wait,7.0,0.07785677,0
seek,10.0,0.048051691,0
wham,4.0,0.030499811,0
twit,3.0,0.028010655,0
ditz,0.0,0.00979284,0
byte,1.0,0.00979284,0
make,16.0,0.081872177,0
lost,11.0,0.069192419,0
lazy,3.0,0.044479041,0
obey,0.0,0.042456039,0
hoax,1.0,0.032260039,0
aura,0.0,0.030094851,0
fret,2.0,0.030260434,0
will,14.0,0.085198251,0
same,15.0,0.072477097,0
used,1.0,0.070972445,0
sexy,0.0,0.051901514,0
scam,10.0,0.039522327,0
find,10.0,0.077863969,0
whir,3.0,0.008588758,0
fine,11.0,0.075292021,0
took,8.0,0.070929249,0
hers,4.0,0.046862008,0
cozy,2.0,0.03887439,0
late,11.0,0.069068231,0
sent,12.0,0.063830745,0
none,13.0,0.062101114,0
ruin,1.0,0.051514552,0
noir,0.0,0.023797268,0
puny,3.0,0.028331024,0
shun,4.0,0.020345206,0
fear,12.0,0.058422275,0
rule,5.0,0.055600151,0
lied,2.0,0.054864023,0
dole,14.0,0.025161534,0
help,6.0,0.07866849,0
next,4.0,0.073116035,0
quit,3.0,0.060499271,0
undo,1.0,0.036881986,0
miss,8.0,0.07336981,0
jive,5.0,0.02949011,0
snug,4.0,0.028224834,0
flux,3.0,0.025762675,0
wane,14.0,0.015210309,0
flub,3.0,0.005419269,0
made,11.0,0.07479707,0
rude,6.0,0.049504149,0
afar,1.0,0.026586994,0
daze,7.0,0.020903151,0
diss,9.0,0.019090729,0
mean,9.0,0.08101726,0
mind,12.0,0.073648782,0
real,12.0,0.072943252,0
cost,9.0,0.05663145,0
some,6.0,0.083582009,0
neat,10.0,0.045040586,0
over,2.0,0.081499613,0
onto,2.0,0.053478159,0
muse,7.0,0.030499811,0
feat,12.0,0.028735984,0
pomp,4.0,0.018379799,0
mock,9.0,0.038485628,0
glam,5.0,0.017175717,0
save,14.0,0.06509962,0
nigh,2.0,0.02398265,0
only,1.0,0.079939166,0
hell,16.0,0.073422005,0
busy,4.0,0.061807743,0
wild,5.0,0.056964417,0
brag,4.0,0.035173953,0
snub,3.0,0.018379799,0
foul,6.0,0.046212271,0
fair,4.0,0.060891633,0
plea,1.0,0.040371844,0
info,1.0,0.035596912,0
most,10.0,0.07112183,0
gave,13.0,0.068274509,0
sync,0.0,0.034680801,0
hark,11.0,0.02949011,0
your,5.0,0.0938752,0
more,15.0,0.081352028,0
keep,9.0,0.076555498,0
many,2.0,0.071312611,0
dull,13.0,0.044803009,0
glad,3.0,0.065524379,0
dumb,2.0,0.05540757,0
nope,11.0,0.053101996,0
curt,8.0,0.033039362,0
lore,16.0,0.022373607,0
care,20.0,0.073659581,0
zeal,7.0,0.021671676,0
lull,7.0,0.026714782,0
told,9.0,0.076517701,0
into,3.0,0.077989957,0
feel,7.0,0.075664585,0
glee,3.0,0.026455607,0
amid,3.0,0.024509998,0
zest,9.0,0.022593186,0
chic,2.0,0.032004464,0
went,14.0,0.072370908,0
dear,16.0,0.067597775,0
lose,11.0,0.065196811,0
does,3.0,0.076141538,0
odds,0.0,0.048346862,0
lewd,2.0,0.027330322,0
away,2.0,0.076859668,0
dibs,2.0,0.03193787,0
dupe,4.0,0.02214683,0
meek,7.0,0.029668293,0
ploy,5.0,0.028735984,0
loss,7.0,0.051672936,0
thou,0.0,0.049635536,0
role,12.0,0.048010295,0
foxy,1.0,0.034104858,0
epic,0.0,0.032069257,0
have,11.0,0.093524235,0
nice,7.0,0.075938158,0
myth,3.0,0.040438437,0
stay,7.0,0.074132935,0
jest,10.0,0.027677688,0
idly,1.0,0.021912853,0
this,2.0,0.095543637,0
omit,1.0,0.015750256,0
must,14.0,0.076514102,0
norm,3.0,0.034772592,0
glum,5.0,0.02561689,0
vast,8.0,0.039473732,0
deem,4.0,0.0214251,0
love,9.0,0.080160544,0
kind,8.0,0.075194831,0
easy,2.0,0.068951243,0
nosy,3.0,0.033483919,0
mega,1.0,0.023610086,0
gone,11.0,0.069815158,0
oops,1.0,0.044003888,0
what,3.0,0.097185076,0
with,2.0,0.091965587,0
done,17.0,0.073655982,0
damn,4.0,0.069458793,0
ways,1.0,0.056147298,0
ahoy,0.0,0.035596912,0
icky,1.0,0.026842569,0
amok,0.0,0.020345206,0
jilt,5.0,0.003169489,0
hate,10.0,0.067281006,0
fake,13.0,0.053402567,0
wise,9.0,0.051498353,0
rare,13.0,0.049235975,0
want,11.0,0.08724465,0
rely,0.0,0.040742607,0
urge,0.0,0.040145066,0
heed,10.0,0.030012059,0
vary,2.0,0.024841166,0
been,9.0,0.083625205,0
like,11.0,0.090144166,0
yeah,1.0,0.08786019,0
okay,0.0,0.084753694,0
vibe,4.0,0.038255251,0
loco,2.0,0.030733788,0
hypo,2.0,0.016727561,0
pure,6.0,0.050458055,0
pity,2.0,0.0500027,0
edgy,1.0,0.031806483,0
soul,4.0,0.059268192,0
defy,2.0,0.034203848,0
came,17.0,0.073303216,0
from,2.0,0.084879682,0
yuck,8.0,0.035798492,0
smug,4.0,0.032197045,0
grim,8.0,0.037583917,0
ours,0.0,0.053181188,0
gist,5.0,0.026185634,0
soon,7.0,0.068710066,0
sane,16.0,0.038681809,0
ably,2.0,0.012580767,0
wish,6.0,0.067995536,0
wits,1.0,0.033590108,0
tact,6.0,0.026185634,0
seem,7.0,0.063933335,0
hype,3.0,0.029216537,0
sure,5.0,0.080054355,0
lieu,1.0,0.026320621,0
anew,1.0,0.024337215,0
avid,3.0,0.020050035,0
moot,12.0,0.026714782,0
akin,1.0,0.015750256,0
true,1.0,0.068578679,0
past,12.0,0.062979428,0
need,8.0,0.08133043,0
much,4.0,0.079098648,0
than,4.0,0.076944259,0
whim,5.0,0.032004464,0
know,4.0,0.092944691,0
bias,1.0,0.029122946,0
iffy,0.0,0.020345206,0
good,8.0,0.086809093,0
else,1.0,0.073054841,0
knew,3.0,0.071517791,0
risk,3.0,0.055745937,0
idea,0.0,0.071303612,0
keen,5.0,0.037054769,0
when,3.0,0.084859884,0
best,14.0,0.072234121,0
lone,15.0,0.038314645,0
wont,4.0,0.029027555,0
zany,1.0,0.013325894,0
ruse,8.0,0.029400119,0
alas,0.0,0.035839888,0
that,6.0,0.1,0
fate,12.0,0.051071795,0
just,8.0,0.091488634,0
were,5.0,0.083285038,0
ever,2.0,0.076625691,0
such,3.0,0.069667573,0
then,7.0,0.082424722,0
very,2.0,0.080999262,0
mere,4.0,0.041453538,0
thus,3.0,0.044954194,0
luck,12.0,0.064674862,0
hope,11.0,0.070419899,0
zing,7.0,0.026714782,0
