WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,Word
0.0,265.1932140656819,2.0,0.019423696,-1.0,1.0,trod
1.0,335.3667233802318,10.0,0.025161534,1.0,1.0,pant
2.0,264.00245605426574,5.0,0.042052879,1.0,1.0,robe
3.0,303.7582775464327,7.0,0.027564299,-1.0,1.0,slew
4.0,324.89732908936327,10.0,0.03857022,1.0,1.0,mint
5.0,317.91413324150597,15.0,0.050603841,-1.0,1.0,sale
6.0,188.8510405481099,0.0,0.024677382,1.0,1.0,dojo
7.0,245.72449421339326,3.0,0.064257303,-1.0,1.0,plan
8.0,307.2550646637039,6.0,0.032808985,1.0,1.0,gram
9.0,257.7353316343185,1.0,0.00979284,1.0,1.0,clef
10.0,272.6472522479924,7.0,0.052893216,-1.0,1.0,mood
11.0,211.92120904875384,1.0,0.023797268,-1.0,1.0,faux
12.0,258.55812102795414,2.0,0.044635626,1.0,1.0,frog
13.0,293.08449231107335,8.0,0.019742265,-1.0,1.0,bode
14.0,357.32214138774145,20.0,0.043190367,1.0,1.0,core
15.0,258.7269498460838,5.0,0.052113893,-1.0,1.0,tour
16.0,218.51041849360294,3.0,0.014630766,1.0,1.0,talc
17.0,279.622606587913,8.0,0.042034881,1.0,1.0,scar
18.0,269.5851011529552,5.0,0.027902666,-1.0,1.0,jolt
19.0,204.31934006401485,1.0,0.066978636,-1.0,1.0,also
20.0,311.79876196355997,13.0,0.041336549,-1.0,1.0,bore
21.0,299.65066231755566,8.0,0.032386026,1.0,1.0,hind
22.0,260.7720862808626,5.0,0.037895286,1.0,1.0,herb
23.0,336.9809863442399,18.0,0.014006227,-1.0,1.0,sear
24.0,229.0510783663076,1.0,0.052571048,-1.0,1.0,ally
25.0,282.4434167000934,10.0,0.022373607,-1.0,1.0,mope
26.0,275.7727112294644,5.0,0.037389536,1.0,1.0,limb
27.0,297.43996503515586,8.0,0.038654812,1.0,1.0,weep
28.0,307.53226270683354,8.0,0.033096956,1.0,1.0,hoop
29.0,257.574165605084,3.0,0.019090729,-1.0,1.0,maim
30.0,255.1078582623815,2.0,0.030420619,1.0,1.0,knit
31.0,299.0715246205841,10.0,0.041136769,-1.0,1.0,bold
32.0,278.59045956029513,9.0,0.00979284,-1.0,1.0,jell
33.0,276.91807709456026,6.0,0.038226454,1.0,1.0,leaf
34.0,224.2317340603051,2.0,0.00979284,-1.0,1.0,awed
35.0,240.68927075519204,0.0,0.021671676,1.0,1.0,euro
36.0,262.6423000031241,3.0,0.041136769,-1.0,1.0,prep
37.0,260.39916314317736,1.0,0.045755116,1.0,1.0,poem
38.0,326.9309147382005,16.0,0.041907093,-1.0,1.0,bare
39.0,315.48550788893306,9.0,0.02949011,1.0,1.0,lard
40.0,324.59803208309523,12.0,0.022593186,1.0,1.0,gash
41.0,306.0867665676424,7.0,0.04315977,1.0,1.0,silk
42.0,277.55549931735993,6.0,0.037223952,-1.0,1.0,flee
43.0,228.54007859767745,1.0,0.023417505,1.0,1.0,yogi
44.0,282.45730242518334,5.0,0.008588758,-1.0,1.0,plod
45.0,225.82053250485683,2.0,0.046784615,1.0,1.0,exit
46.0,228.12192693379296,1.0,0.056046507,-1.0,1.0,duty
47.0,311.8149766613448,13.0,0.023016144,-1.0,1.0,hone
48.0,227.86455273262436,2.0,0.030260434,1.0,1.0,fuzz
49.0,333.5666263179315,13.0,0.034680801,1.0,1.0,lime
50.0,263.649885800962,3.0,0.038681809,-1.0,1.0,prey
51.0,309.02954159470653,9.0,0.023797268,-1.0,1.0,bunt
52.0,298.3162216327113,12.0,0.046996994,-1.0,1.0,rape
53.0,335.2353813653601,13.0,0.037772898,1.0,1.0,gale
54.0,244.5948520032748,1.0,0.021912853,-1.0,1.0,spry
55.0,292.643429756165,5.0,0.046106082,1.0,1.0,flip
56.0,320.720304094191,15.0,0.032981768,-1.0,1.0,fore
57.0,287.82866906017784,7.0,0.044479041,-1.0,1.0,plot
58.0,250.97105692050332,2.0,0.025906661,-1.0,1.0,tier
59.0,310.89691670605697,11.0,0.042177067,1.0,1.0,fold
60.0,270.21150188689074,3.0,0.04755134,1.0,1.0,fuel
61.0,306.0789303923392,7.0,0.029841076,1.0,1.0,dung
62.0,226.87702627085204,0.0,0.0,1.0,1.0,lynx
63.0,247.1711287684388,4.0,0.050794622,-1.0,1.0,thee
64.0,282.26220910444283,4.0,0.016727561,-1.0,1.0,arid
65.0,327.83280663998306,13.0,0.032866579,1.0,1.0,hoot
66.0,300.5148350546155,8.0,0.043960692,1.0,1.0,torn
67.0,267.40490559498437,6.0,0.052290276,-1.0,1.0,weak
68.0,273.03461636292695,4.0,0.038955382,1.0,1.0,cuff
69.0,257.67178850035543,3.0,0.040721009,-1.0,1.0,folk
70.0,308.65349975577584,14.0,0.03458721,-1.0,1.0,cope
71.0,290.4353627275608,4.0,0.024841166,1.0,1.0,spud
72.0,239.61361786844265,3.0,0.044928997,-1.0,1.0,coma
73.0,234.29607889461113,1.0,0.016727561,-1.0,1.0,gawk
74.0,308.69512973466954,11.0,0.03153471,-1.0,1.0,dire
75.0,310.3789269341592,10.0,0.041646119,1.0,1.0,hose
76.0,315.0115601933916,9.0,0.026966757,1.0,1.0,foil
77.0,307.60509933598416,11.0,0.036986375,-1.0,1.0,peep
78.0,280.3763453710403,4.0,0.022807365,1.0,1.0,fawn
79.0,293.7330449538647,5.0,0.046296863,1.0,1.0,spin
80.0,269.5220585732817,5.0,0.027211533,-1.0,1.0,stow
81.0,215.23675488871555,2.0,0.055268984,-1.0,1.0,size
82.0,302.1195033041996,11.0,0.031394323,-1.0,1.0,hock
83.0,265.1633815412557,8.0,0.055826929,-1.0,1.0,east
84.0,310.51427353820304,12.0,0.037223952,1.0,1.0,rail
85.0,333.45083795015177,13.0,0.033590108,1.0,1.0,pest
86.0,290.367283095862,4.0,0.037454329,1.0,1.0,raft
87.0,217.9023900259827,0.0,0.022593186,1.0,1.0,tutu
88.0,274.3448894203275,6.0,0.046503843,-1.0,1.0,host
89.0,278.98451314190436,4.0,0.022593186,1.0,1.0,lube
90.0,257.57625686726084,4.0,0.060292291,-1.0,1.0,cute
91.0,317.077232025838,15.0,0.007163298,-1.0,1.0,sate
92.0,314.0990076086478,11.0,0.041550728,1.0,1.0,tuck
93.0,246.87666671860228,2.0,0.045161174,1.0,1.0,eats
94.0,282.7992294278833,5.0,0.019742265,-1.0,1.0,spew
95.0,294.51325440410903,8.0,0.008588758,1.0,1.0,eave
96.0,313.6785900604553,9.0,0.040393441,1.0,1.0,cunt
97.0,357.24839027339397,14.0,0.007163298,1.0,1.0,slat
98.0,259.8859618161616,3.0,0.045222368,1.0,1.0,hawk
99.0,230.96408271747615,2.0,0.018379799,1.0,1.0,waxy
100.0,295.8914014379506,8.0,0.042052879,-1.0,1.0,rank
101.0,246.82156200135609,3.0,0.048282068,-1.0,1.0,june
102.0,273.8352012649159,6.0,0.032808985,-1.0,1.0,reap
103.0,219.60435931325645,2.0,0.020903151,-1.0,1.0,awry
104.0,267.07644169428977,8.0,0.038820396,-1.0,1.0,fade
105.0,216.2592884131405,1.0,0.044954194,1.0,1.0,item
106.0,257.67037622210967,2.0,0.016727561,-1.0,1.0,airy
107.0,319.7321192615105,12.0,0.031180144,1.0,1.0,vine
108.0,266.2336149796653,3.0,0.037020572,-1.0,1.0,cult
109.0,321.7316118509584,12.0,0.045810911,1.0,1.0,sail
110.0,305.60502503078544,11.0,0.024841166,-1.0,1.0,fend
111.0,262.3571586007726,1.0,0.015210309,1.0,1.0,peso
112.0,292.1799523714636,6.0,0.021912853,-1.0,1.0,sped
113.0,321.1061017941432,11.0,0.036741599,1.0,1.0,mold
114.0,194.25404004152045,1.0,0.064854844,-1.0,1.0,whoa
115.0,322.4861139405783,7.0,0.026714782,1.0,1.0,blob
116.0,304.9200488163826,11.0,0.044531236,-1.0,1.0,lend
117.0,304.141094944131,4.0,0.00979284,1.0,1.0,glob
118.0,232.512155215958,0.0,0.03837224,1.0,1.0,nova
119.0,206.45020844694767,1.0,0.017998236,-1.0,1.0,ogle
120.0,206.59521700778774,0.0,0.026320621,1.0,1.0,afro
121.0,330.93020457573147,10.0,0.017998236,1.0,1.0,wort
122.0,313.5731509752875,11.0,0.012580767,-1.0,1.0,seep
123.0,319.2657623691649,15.0,0.040784003,-1.0,1.0,bent
124.0,251.26283651015706,3.0,0.053154191,-1.0,1.0,whom
125.0,270.76157559500047,4.0,0.039218157,1.0,1.0,nude
126.0,254.68796736330077,1.0,0.014006227,-1.0,1.0,peon
127.0,296.4401411206303,9.0,0.044333255,1.0,1.0,cock
128.0,286.10489034269165,3.0,0.010836738,1.0,1.0,alum
129.0,282.77367529888716,6.0,0.013325894,-1.0,1.0,clad
130.0,275.43422069542726,3.0,0.038928385,1.0,1.0,toad
131.0,323.68028072360516,10.0,0.038314645,1.0,1.0,sole
132.0,350.1089093470199,15.0,0.030960566,1.0,1.0,bale
133.0,314.5459801860188,14.0,0.047407354,-1.0,1.0,tone
134.0,261.1601302947966,3.0,0.027791076,-1.0,1.0,duly
135.0,219.3079417521275,1.0,0.048906607,-1.0,1.0,earl
136.0,288.1489298513307,5.0,0.040805601,1.0,1.0,dorm
137.0,295.38122393572814,7.0,0.030499811,1.0,1.0,fang
138.0,281.18616761184364,7.0,0.05755116,-1.0,1.0,crap
139.0,310.08200314934777,10.0,0.031394323,-1.0,1.0,sank
140.0,222.9547769156383,0.0,0.020345206,1.0,1.0,magi
141.0,305.18021015270824,10.0,0.040827199,1.0,1.0,tick
142.0,240.5616557772452,1.0,0.040742607,-1.0,1.0,glen
143.0,250.45288631343175,4.0,0.016254207,-1.0,1.0,axed
144.0,278.8737642910705,6.0,0.027330322,-1.0,1.0,posh
145.0,335.8830230374638,14.0,0.031252137,1.0,1.0,tack
146.0,222.52065752123093,1.0,0.024162632,1.0,1.0,zinc
147.0,304.4960691886693,7.0,0.040121668,1.0,1.0,disk
148.0,239.57068206822515,1.0,0.050670434,1.0,1.0,data
149.0,259.13244584610277,3.0,0.027677688,-1.0,1.0,daft
150.0,194.05760966851068,2.0,0.064982632,-1.0,1.0,able
151.0,273.4726856742045,9.0,0.048184878,-1.0,1.0,vice
152.0,279.4994482185365,8.0,0.031603103,-1.0,1.0,goof
153.0,234.14617715446707,1.0,0.020629578,-1.0,1.0,noun
154.0,287.8104059775725,3.0,0.029668293,1.0,1.0,gasp
155.0,297.24002883124825,5.0,0.037020572,1.0,1.0,crow
156.0,301.2865716358329,11.0,0.042106874,-1.0,1.0,hack
157.0,307.63370245856083,8.0,0.022593186,1.0,1.0,fowl
158.0,228.24842861667722,1.0,0.05734238,-1.0,1.0,lots
159.0,343.5471611381046,16.0,0.044169471,1.0,1.0,boot
160.0,200.42764288483497,1.0,0.020345206,-1.0,1.0,anti
161.0,296.03702607452794,4.0,0.02500315,1.0,1.0,font
162.0,187.36993667062194,0.0,0.050740627,1.0,1.0,taxi
163.0,248.33642654112427,4.0,0.057405374,-1.0,1.0,type
164.0,302.22820112958436,8.0,0.037740501,1.0,1.0,heap
165.0,311.3229806937245,10.0,0.023219524,-1.0,1.0,wary
166.0,295.78653815772213,12.0,0.057392776,-1.0,1.0,west
167.0,290.86966019050504,6.0,0.014630766,1.0,1.0,nape
168.0,281.08823731640496,4.0,0.016727561,-1.0,1.0,gait
169.0,220.35641400513677,1.0,0.052682637,-1.0,1.0,jerk
170.0,286.9051156479043,9.0,0.034349634,-1.0,1.0,funk
171.0,226.98054634160766,0.0,0.025161534,1.0,1.0,judo
172.0,309.5799038054166,10.0,0.029122946,1.0,1.0,gent
173.0,319.58066424806265,12.0,0.042592826,1.0,1.0,reed
174.0,274.9221159630587,2.0,0.039957884,1.0,1.0,riot
175.0,287.75749673037745,7.0,0.03652562,-1.0,1.0,dork
176.0,256.1475208952323,2.0,0.029841076,1.0,1.0,gala
177.0,239.77015346539216,0.0,0.050080092,1.0,1.0,guts
178.0,309.07122422562543,10.0,0.04601969,1.0,1.0,bush
179.0,298.3757980382416,12.0,0.032260039,-1.0,1.0,swam
180.0,247.06426049700195,5.0,0.039981282,-1.0,1.0,vain
181.0,301.8590979326162,7.0,0.031806483,1.0,1.0,tong
182.0,238.15027655687118,4.0,0.024841166,-1.0,1.0,vamp
183.0,268.86830267742965,6.0,0.038820396,-1.0,1.0,doom
184.0,313.5717058032765,14.0,0.044016486,-1.0,1.0,lame
185.0,211.8217406742625,0.0,0.017598675,1.0,1.0,oboe
186.0,264.18803378114876,3.0,0.043804107,1.0,1.0,lamb
187.0,205.7155479275049,1.0,0.050782023,-1.0,1.0,amen
188.0,305.7640719810243,9.0,0.042265258,1.0,1.0,beam
189.0,238.31392463137263,3.0,0.010836738,-1.0,1.0,skew
190.0,296.0204614286066,6.0,0.014630766,-1.0,1.0,meld
191.0,297.00272051470756,7.0,0.033537913,1.0,1.0,moss
192.0,253.9386877370952,3.0,0.049264772,-1.0,1.0,deny
193.0,279.87018725054037,3.0,0.028010655,1.0,1.0,gout
194.0,278.6528873362855,6.0,0.026047047,-1.0,1.0,pout
195.0,235.73997768044347,2.0,0.027791076,-1.0,1.0,alto
196.0,208.11033330049068,0.0,0.044700419,1.0,1.0,jazz
197.0,299.1292082419846,8.0,0.04449344,1.0,1.0,porn
198.0,322.34816274872657,15.0,0.036741599,-1.0,1.0,dine
199.0,320.4286429914637,10.0,0.030499811,1.0,1.0,dart
200.0,218.2477155140802,3.0,0.012580767,-1.0,1.0,boxy
201.0,279.0739125978665,8.0,0.026842569,-1.0,1.0,bony
202.0,284.7853551996735,4.0,0.030341427,1.0,1.0,moan
203.0,254.5960394607892,2.0,0.036036068,1.0,1.0,bulb
204.0,250.02530005434264,2.0,0.046685625,-1.0,1.0,diet
205.0,325.073057808357,13.0,0.044045284,1.0,1.0,lick
206.0,350.8554911345263,15.0,0.026047047,1.0,1.0,soot
207.0,292.0619970522456,9.0,0.050645237,-1.0,1.0,hire
208.0,268.36713769944606,4.0,0.00979284,-1.0,1.0,laud
209.0,262.204672705512,4.0,0.051881716,-1.0,1.0,gosh
210.0,309.64621962352373,7.0,0.031252137,1.0,1.0,snot
211.0,276.4383453990397,7.0,0.044928997,-1.0,1.0,tend
212.0,310.4126077623179,11.0,0.028932165,-1.0,1.0,toot
213.0,185.68932047571695,0.0,0.017175717,1.0,1.0,onyx
214.0,203.2375888968008,0.0,0.045620129,1.0,1.0,exam
215.0,304.64660259178766,8.0,0.044990191,1.0,1.0,tire
216.0,326.5733029135026,11.0,0.032808985,1.0,1.0,dunk
217.0,279.2332058388494,4.0,0.04500279,1.0,1.0,toss
218.0,276.12046094721455,6.0,0.0214251,-1.0,1.0,balm
219.0,217.23858039158486,1.0,0.068576879,-1.0,1.0,each
220.0,305.5521595730062,7.0,0.044662623,1.0,1.0,slim
221.0,251.67311983404502,2.0,0.02561689,1.0,1.0,opal
222.0,244.5803237205324,4.0,0.012580767,-1.0,1.0,volt
223.0,257.8429174256081,6.0,0.0428556,-1.0,1.0,scan
224.0,300.87667973267605,8.0,0.032004464,-1.0,1.0,cant
225.0,304.4157125252485,5.0,0.023219524,1.0,1.0,sift
226.0,311.490588898553,11.0,0.042774608,1.0,1.0,deed
227.0,277.4471497553782,4.0,0.017998236,-1.0,1.0,prim
228.0,295.26874863377657,10.0,0.054673242,-1.0,1.0,form
229.0,220.3850271292666,1.0,0.045643527,-1.0,1.0,blah
230.0,272.3214600924292,6.0,0.031464516,1.0,1.0,skid
231.0,274.0043814996933,4.0,0.036378035,1.0,1.0,curb
232.0,314.26739643248334,8.0,0.029216537,1.0,1.0,lark
233.0,221.39637250206107,2.0,0.02561689,-1.0,1.0,atop
234.0,289.3271308099214,13.0,0.032629002,-1.0,1.0,rave
235.0,295.6438882392726,7.0,0.036671406,-1.0,1.0,lure
236.0,267.3344207505446,3.0,0.050341067,1.0,1.0,path
237.0,270.15967527225894,3.0,0.017998236,1.0,1.0,kiln
238.0,206.6190049362661,3.0,0.035996472,-1.0,1.0,whiz
239.0,306.55859285325425,8.0,0.045810911,1.0,1.0,flow
240.0,267.96111325913427,4.0,0.026320621,-1.0,1.0,dual
241.0,277.7541768358269,4.0,0.022593186,1.0,1.0,burr
242.0,287.1889677356941,4.0,0.039192959,1.0,1.0,glue
243.0,316.7622666140642,12.0,0.029754684,1.0,1.0,sage
244.0,304.42127412089656,10.0,0.052230881,-1.0,1.0,bond
245.0,342.57167396747093,13.0,0.038654812,1.0,1.0,slot
246.0,278.23051403641045,5.0,0.046804413,-1.0,1.0,tune
247.0,292.9883724524303,11.0,0.033208546,-1.0,1.0,tame
248.0,193.71670564013314,1.0,0.046073685,-1.0,1.0,debt
249.0,283.2149113938136,9.0,0.033429924,-1.0,1.0,stat
250.0,297.6966288118132,5.0,0.040951387,1.0,1.0,monk
251.0,278.1079329866527,4.0,0.012580767,-1.0,1.0,fiat
252.0,252.60484736523182,2.0,0.030012059,1.0,1.0,logo
253.0,314.71191192695994,8.0,0.040890193,1.0,1.0,melt
254.0,274.3357502432774,6.0,0.020903151,1.0,1.0,kale
255.0,271.3469713063099,6.0,0.045800112,-1.0,1.0,gain
